Hotel Name,Survey ID,,,
,,,,
"Lake Palace, Udaipur",NLajnL5g7ojLLpwXaoq,https://www.tripadvisor.in/Hotel_Review-g297672-d302377-Reviews-Taj_Lake_Palace_Udaipur-Udaipur_Rajasthan.html,,
"Madikeri, Coorg",AmWzVm76glzmmMxyWlM,https://www.tripadvisor.in/Hotel_Review-g641714-d3324104-Reviews-Vivanta_by_Taj_Madikeri-Madikeri_Kodagu_Coorg_Karnataka.html,,
"Fort Aguada, Goa",pdlr3da9QYrddkLBlYw,https://www.tripadvisor.in/Hotel_Review-g1165042-d304837-Reviews-Vivanta_by_Taj_Fort_Aguada_Goa-Sinquerim_Goa.html,,
