Hotel Name,Survey ID,,,
,,,,
"Villagio, Goa",GMzwApkX24lQnvLNwBO,https://www.tripadvisor.in/Hotel_Review-g1925961-d2013657-Reviews-Goa_Villagio_A_Sterling_Holidays_Resort-Betalbatim_Salcette_District_Goa.html,,
"Manali, White Mist",or8bQMxdBvrOqgW9JJ1,https://www.tripadvisor.in/Hotel_Review-g297618-d736079-Reviews-Manali_White_Mist_A_Sterling_Holidays_Resort-Manali_Himachal_Pradesh.html,,
"Dindi, By the Godavari",l5xgoDMYd9wG3gWrXOM,https://www.tripadvisor.in/Hotel_Review-g8628053-d8029274-Reviews-Dindi_By_The_Godavari_A_Sterling_Holidays_Resort-Medicherlapalem_Andhra_Pradesh.html,,
