Hotel Name,Survey ID,,,
,,,,
"New Delhi",orlrKZ4W6ylyx1KwQXl,http://www.booking.com/hotel/in/oyo-rooms-opposite-railway-station.html?label=gen173nr-1FCAEoggJCAlhYSDNiBW5vcmVmaGyIAQGYATG4AQ_IAQ_YAQHoAQH4AQKoAgM;sid=69a80e530b4bd33d6a2ce0e128061485;dcid=12;dest_id=-2112243;dest_type=city;dist=0;group_adults=2;room1=A%2CA;sb_price_type=total;srfid=71207b6564457bb744b664f31e1e0cdaf6eddffdX13;type=total;ucfs=1&,,
"surat",l5G5KLzX8dKZGena2eo,http://www.booking.com/hotel/in/lords-plaza.html?label=gen173nr-1FCAEoggJCAlhYSDNiBW5vcmVmaGyIAQGYATG4AQ_IAQ_YAQHoAQH4AQKoAgM;sid=69a80e530b4bd33d6a2ce0e128061485;dcid=12;dest_id=-2112243;dest_type=city;dist=0;group_adults=2;room1=A%2CA;sb_price_type=total;srfid=71207b6564457bb744b664f31e1e0cdaf6eddffdX4;type=total;ucfs=1&,,
"mumbai",ep3pmZnA5Ag84Q9YBKx,http://www.booking.com/hotel/in/best-western-yuvraj.html?label=gen173nr-1FCAEoggJCAlhYSDNiBW5vcmVmaGyIAQGYATG4AQ_IAQ_YAQHoAQH4AQKoAgM;sid=69a80e530b4bd33d6a2ce0e128061485;dcid=12;dest_id=-2112243;dest_type=city;dist=0;group_adults=2;room1=A%2CA;sb_price_type=total;srfid=71207b6564457bb744b664f31e1e0cdaf6eddffdX3;type=total;ucfs=1&,,
